id,source,title,text
http://arxiv.org/abs/2202.10422v1,paper,Disappearing of the Fermi level pinning at semiconductor interfaces,"We identify a universality in the Fermi level change of Van der Waals interacting semiconductor interfaces-based Schottky junctions. We show that the disappearing of quasi-Fermi level pinning at a certain thickness of semiconductor films for both intrinsic (undoped) and extrinsic (doped) semiconductors, over a wide range of bulk systems including inorganic, organic, and even organic-inorganic hybridized semiconductors. The Fermi level (EF) position located in the energy bandgap was dominated by not only the substrate work function, but also the thickness of semiconductor films, in which the final EF shall be located at the position reflecting the thermal equilibrium of semiconductors themselves. Such universalities originate from the charge transfer between the substrate and semiconductor films after solving one-dimensional Poisson's equation. Our calculation resolves some of the conflicting results from experimental results determined by using ultraviolet photoelectron spectroscopy (UPS) and unifies the general rule on extracting EF positions in energy bandgaps from (i) inorganic semiconductors to organic semiconductors and (ii) intrinsic (undoped) to extrinsic (doped) semiconductors. Our findings shall provide a simple analytical scaling for obtaining the quantitative energy diagram regarding thickness in the real devices, thus paving the way for a fundamental understanding of interface physics and designing functional devices."
http://arxiv.org/abs/2312.15259v1,paper,Room temperature ferromagnetic semiconductors through   metal-semiconductor transition in monolayer MnSe2,"To realize room temperature ferromagnetic semiconductors is still a challenge in spintronics. Recent experiments have obtained two-dimensional (2D) room temperature ferromagnetic metals, such as monolayer MnSe2. In this paper, we proposed a way to obtain room temperature ferromagnetic semiconductors through metal-semiconductor transition. By the density functional theory calculations, a room temperature ferromagnetic semiconductor is obtained in monolayer MnSe2 with a few percent tensile strains, where a metal-semiconductor transition occurs with 2.2% tensile stain. The tensile stains raise the energy of d orbitals of Mn atoms and p orbitals of Se atoms near the Fermi level, making the Fermi level sets in the energy gap of bonding and antibonding states of these p and d orbitals, and opening a small band gap. The room temperature ferromagnetic semiconductors are also obtained in the heterostructures MnSe2/X (X = Al2Se3, GaSe, SiH, and GaP), where metal-semiconductor transition happens due to the tensile strains by interface of heterostructures. In addition, a large magneto-optical Kerr effect (MOKE) is obtained in monolayer MnSe2 with tensile strain and MnSe2-based heterostructures. Our theoretical results pave a way to obtain room temperature magnetic semiconductors from experimentally obtained 2D room temperature ferromagnetic metals through metal-semiconductor transitions."
http://arxiv.org/abs/0803.4401v1,paper,Optical Orientation in Ferromagnet/Semiconductor Hybrids,"The physics of optical pumping of semiconductor electrons in the ferromagnet/semiconductor hybrids is discussed. Optically oriented semiconductor electrons detect the magnetic state of the ferromagnetic film. In turn, the ferromagnetism of the hybrid can be controlled optically with the help of the semiconductor. Spin-spin interactions near the interface ferromagnet/semiconductor play crucial role in the optical readout and the manipulation of ferromagnetism."
http://arxiv.org/abs/1508.03511v1,paper,Refractive Indices of Semiconductors from Energy gaps,"An empirical relation based on energy gap and refractive index data has been proposed in the present study to calculate the refractive index of semiconductors. The proposed model is then applied to binary as well as ternary semiconductors for a wide range of energy gap. Using the relation, dielectric constants of some III-V group semiconductors are calculated. The calculated values for different group of binary semiconductors, alkali halides and ternary semiconductors fairly agree with other calculations and known values over a wide range of energy gap. The temperature variation of refractive index for some binary semiconductors have been calculated."
http://arxiv.org/abs/2308.09807v1,paper,Theoretical study of conventional semiconductors as transducers to   increase power and efficiency in betavoltaic batteries,"Semiconductor materials play an important role as transducers of electrical energy in betavoltaic batteries. Optimal selection of effective factors will increase the efficiency of these batteries. In this study, based on common semiconductors and relying on increasing the maximum efficiency of betavoltaic batteries and the possibility of using 3H, 63Ni, and 147Pm beta sources, the indicators and criteria for optimal selection of semiconductor materials are determined. Evaluation criteria include the backscattering coefficient of beta particles from semiconductors, efficiency of electron-hole pairs generation, electronic specifications and properties, radiation damage threshold, radiation yield, stopping power and penetration of beta particles in semiconductors, physical characteristics, temperature tolerance, accessibility, and fabrication are considered. Conventional semiconductors have been quantitatively evaluated based on these criteria and compared with silicon semiconductors. 10 semiconductors, , diamond, 2H-SiC, 3C-SiC, 4H-SiC, AlN, MgO, B4C with effective atomic number less than 14 and bandgap energy above 1.12 eV at room temperature (300K) compared to Silicon semiconductors are evaluated. Finally, according to the evaluation indicators, Diamond, c-BN, and 4H-SiC are more suitable semiconductors in terms of efficiency have selected, respectively. The results indicate that for planar batteries, a betavoltaic semiconductor type junction for Schottky diamond with 147pm radioisotope, and 4H-SiC semiconductors with 63Ni or 3H radioisotopes, and for three-dimensional structures of betavoltaic batteries, Si combination with 147pm or 63Ni radioisotopes is recommended."
http://arxiv.org/abs/cond-mat/0504168v1,paper,Magnetic oxide semiconductors,"Magnetic oxide semiconductors, oxide semiconductors doped with transition metal elements, are one of the candidates for a high Curie temperature ferromagnetic semiconductor that is important to realize semiconductor spintronics at room temperature. We review in this paper recent progress of researches on various magnetic oxide semiconductors. The magnetization, magneto-optical effect, and magneto-transport such as anomalous Hall effect are examined from viewpoint of feasibility to evaluate the ferromagnetism. The ferromagnetism of Co-doped TiO2 and transition metal-doped ZnO is discussed."
http://arxiv.org/abs/2201.06506v2,paper,Entangling spin and charge degrees of freedom in semiconductor quantum   dots,"In this theoretical manuscript I propose a scheme for entangling a single electron semiconductor spin qubit with a single electron semiconductor charge qubit in a triangular triple quantum dot configuration. Two out of three quantum dots are used to define a single electron semiconductor charge qubit. Furthermore, the spin qubit is embedded in the Zeeman sub-levels of the third quantum dot. Combining single qubit gates with entangling CNOT gates allows one to construct a SWAP gate, and therefore to use the semiconductor spin qubit as a long-lived memory for the semiconductor charge qubit."
http://arxiv.org/abs/cond-mat/0204437v1,paper,Auger Processes in Nanosize Semiconductor Crystals,In this chapter I discuss the role that various types of Auger processes play in the linear and nonlinear optical properties of semiconductor nanocrystals.
http://arxiv.org/abs/0902.4350v1,paper,The metal-insulator transition in semiconductors,The temperature dependence of the number density of elementary excitations in a semiconductor with account for the temperature dependence of the band gap is obtained. A local lattice distortion within a crystalline domain is discussed.
http://arxiv.org/abs/2401.17554v1,paper,Ferromagnetic Semiconductors and Spintronic Devices,"Ferromagnetic semiconductors play a crucial role in spintronic devices, enabling effective control of electron spin over charge. This study explores their unique properties, ongoing advancements in spin control, and potential integration into next-generation semiconductor technologies."
